s1,s2,subtask_a,subtask_b,subtask_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#朱闪闪 单纯#这是单纯那个男的都没看房子 就约在酒店“谈房子”？谈灰么？她还穿着白雪公主的样子去… 服了服了 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,每天都有让我上火的剧情，可每天我都忍不住要继续看。猜猜这都是谁～哥哥～#安家##王子健男友力##朱闪闪 单纯# ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#王子健男友力#朱闪闪 单纯 ，王子健朱闪闪这对CP你磕吗？小健健一会儿英雄救美，一会儿又买零食，一会儿又抓娃娃看电影！好甜啊！朱闪闪快把小健健给收了吧 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,有一说一 工作风格上我自己肯定是房似锦 但除了看她吃面香之外我也很喜欢看白雪公主装的朱闪闪—人嘛 保有单纯很重要的～#朱闪闪 单纯# ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#朱闪闪 单纯#朱闪闪好可爱一女生，平实穿搭也是少女风！ ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#王子健男友力# 哈哈哈哈哈哈哈??#朱闪闪 单纯#《安家》中王子健@学徒王自健 发现朱闪闪被骗后直接急眼！平时对同事喜欢斗嘴耍贫，但对外却从没掉过链子，第一时间总是团结的护着自己人，太暖心了！#安家# 我看好王子健朱闪闪这对cp！ L剧透婆的微博视频 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#安家#?第25/26集第二弹预告房似锦这回可就是你小肚鸡肠了，错怪闪闪了，快点买些好吃的表示一下吧！中介买凶宅被骂骗子，顺带侮辱一下人家职业；房店长逆行的检讨书太标准了...大家快来点赞；张乘乘花式作妖2.0，逼得上海话都说出来了！#朱闪闪 单纯# L我只爱吃伊利巧乐滋的微博视频 ?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变##俄罗斯禁止口罩等医疗物资出口# 普京：“最简单，最直接，最有效，最严厉。原谅他们是上帝的事情，而我的任务是送他们去见上帝！”普京牛掰啊！！ L八卦追星学的微博视频 ?,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【武汉一名方舱医院患者“治愈”5天后复发死亡！】澎湃新闻：武汉一名35岁的年轻确诊患者，在方舱医院治疗半月，经专家会诊后“治愈”出院，到指定处隔离，期间觉得胸闷、无力，被认为心理太紧张了。5天后，突然急性复发死亡！死亡医学证明书显示为新冠肺炎引发的呼吸衰竭。 ?  展开全文c,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【病房老奶奶只吃剩饭，说出原因令人泪目：虽说不掏钱，但也是国家的钱】#中国科研团队发现新冠病毒已突变# 武汉康泰同济医院有一位老奶奶在工作人员发饭的时候拒绝了晚饭，却从抽屉里拿出剩饭来吃，说道：剩饭也能吃，我们虽然不掏钱，但是也是国家的钱！视频来源网络，侵删  ?  展开全文c,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更 ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【#新冠病毒发生基因突变#，新冠病毒发源地宿主仍待明确】#中国科研团队发现新冠病毒已突变#3月3日，科学出版社出版的综合性英文学术期刊《国家科学评论》，刊发题为《关于新冠病毒的起源和持续进化》的论文。文章显示，研究人员共在103株测序毒株的149个位点发现了突变。“这意味着，新冠病毒发生了基 ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】#周刊君与你共同战疫# 中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变# 149个突变点，演化出了两个亚型……讲真，这个病毒确实蛮贼的，先是跟我们玩传播途径的手段，紧接着是玩易感人群的花招，后来又在潜伏期长短上跟我们躲猫猫，现在，它又玩起了突变……怎么办？以不变应万变：勤洗手，常通风，不聚集，戴口罩。做好自身防护，严格 ?  展开全文c,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变#随着中国科研团队对病毒的研究的深入了解，病毒的一些特性和变异逐渐被掌握，已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。而L亚型更具侵略性传染力更强。这些新发现和专家夜以继日的工作分不开，很多专家医生都是高龄之人了，这种超强的工作 ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,【疫情当前，三分钟教你如何做好个人防护】面对新型冠状病毒，返岗复工的你是否还心有忐忑？在这样的特殊时期，做好个人防护，既能保护自己，又能保护他人。#中国科研团队发现新冠病毒已突变# 那么在外出、办公以及居家时我们该如何做好防护呢？L中国科普博览的微博视频 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变##周刊君与你共同战疫#病毒被迫妥协了？ O中国科研团队发现新冠病毒已突变，这说明了什么？ ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,早就被解读和宣导成病毒变成妖精了，各种BUG，各种恐慌，所以媒体呀，不要添油加醋了，客观一点吧，民众心理阴影已经够大了。#关注新型肺炎# #中国科研团队发现新冠病毒已突变#,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#新冠病毒已发生变异  在欧洲或导致更高死亡率##中国科研团队发现新冠病毒已突变# 学者：新冠病毒已发生变异 在欧洲或导致更高的死亡率O学者：新冠病毒已发生变异 在欧洲或导致更高的死亡率# ?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,美疾控中心停止公布各州确诊数！当地时间3月3日，美国疾控中心宣布停止公布全国检测人数、以及检测结果为阴性的人数。 其理由是随着各州进行更多测试，这些数据由各州统计，全国数据不具代表性。对此，你怎么看？ #美疾控中心停止公布各州确诊数##中国科研团队发现新冠病毒已突变#  ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,新型冠状病毒突变成L型和S型，代表了什么？@爱问医生科普 #病毒# #疫情# #中国科研团队发现新冠病毒已突变# @新浪爱问医生  LDrX的医学江湖的微博视频 ?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变#研究首次揭示了新冠病毒存在两种亚型，老S和小L，并且推测它们的致病性和传播能力有较大差别。那么，相对古老的S型应产生更多病毒株，因其有更多的时间在人群中传播。实际上L型占70%，S型占30%，且每个L型病毒株比S型携带了相对较多的新生突变。为什么相对年轻的L型 ?  展开全文c,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,中国的上半场    世界的下半场       特别感慨中国的强大，国难当头立即各种政策，强制实行量体温、戴口罩、停工等各种政策，实行居家隔离，减少各种恐慌，如今国内的形势基本稳定下来，实乃幸事。#全国确诊新型肺炎病例#        再看如今的欧洲，从上周意大利突发流感，到如今欧洲流感蔓延 ?  展开全文c,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#中国科研团队发现新冠病毒已突变#   说明它是有智慧的，为了生存，也在努力。 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,转发微博,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,看来比利时人是比较理性的????#我的健康十八式##全球抗疫第一线##中国科研团队发现新冠病毒已突变# L普外科曾医生的微博视频 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国科研团队发现新冠病毒已突变,#北京新增1例新冠肺炎# 真的有点害怕了看到昨天的热搜，#新冠病毒攻击中枢神经系统# 还有变异的热搜#中国科研团队发现新冠病毒已突变# 北京呼呼的人数往上蹦，还不公布行动路线，就算在家都感觉到了压抑和紧张。。。 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
